Side (Left=0);Timestamp (ms);Force@Roll (N);Linear Velocity@Roll (m/s)
0;0,01;6,829931259155273;0,0
0;0,02;6,913842678070068;0,0
0;0,03;7,0315046310424805;0,0
0;0,04;7,066318511962891;0,0
0;0,05;6,935689926147461;0,0
0;0,06;6,929766654968262;0,0
0;0,07;7,004881858825684;0,0
0;0,08;6,93093729019165;0,0
0;0,09;6,99092960357666;0,0
0;0,1;7,125311851501465;0,0
0;0,11;7,15863037109375;0,0
0;0,12;7,072657585144043;0,0
0;0,13;6,955801010131836;0,0
0;0,14;6,968441009521484;0,0
0;0,15;6,939305782318115;0,0
0;0,16;6,94762659072876;0,0
0;0,17;7,044980525970459;0,0
0;0,18;7,007346153259277;0,0
0;0,19;6,907465934753418;0,0
0;0,2;6,999120712280273;0,0
0;0,21;7,07953405380249;0,0
0;0,22;7,031871795654297;0,0
0;0,23;7,033738613128662;0,0
0;0,24;6,995034217834473;0,0
0;0,25;7,008970260620117;0,0
0;0,26;7,058746814727783;0,0
0;0,27;6,990277290344238;0,0
0;0,28;7,005831718444824;0,0
0;0,29;6,966084957122803;0,0
0;0,3;6,835625648498535;0,0
0;0,31;6,986370086669922;0,0
0;0,32;7,145659923553467;0,0
0;0,33;7,05728006362915;0,0
0;0,34;7,058777332305908;0,0
0;0,35000000000000003;7,075530052185059;0,0
0;0,36;6,92694616317749;0,0
0;0,37;6,883847236633301;0,0
0;0,38;6,928868293762207;0,0
0;0,39;6,968048095703125;0,0
0;0,4;6,944753646850586;0,0
0;0,41000000000000003;6,850935935974121;0,0
0;0,42;6,842789173126221;0,0
0;0,43;6,911547660827637;0,0
0;0,44;6,98248815536499;0,0
0;0,45;6,99018669128418;0,0
0;0,46;6,973450660705566;0,0
0;0,47000000000000003;7,025475025177002;0,0
0;0,48;7,056874752044678;0,0
0;0,49;6,940360069274902;0,0
0;0,5;6,882543087005615;0,0
0;0,51;6,926723480224609;0,0
0;0,52;6,921718597412109;0,0
0;0,53;7,009640693664551;0,0
0;0,54;7,0728559494018555;0,0
0;0,55;6,93755578994751;0,0
0;0,56;6,880450248718262;0,0
0;0,5700000000000001;6,880669116973877;0,0
0;0,58;6,8917412757873535;0,0
0;0,59;6,982330799102783;0,0
0;0,6;6,94671630859375;0,0
0;0,61;6,942167282104492;0,0
0;0,62;6,950821876525879;0,0
0;0,63;6,9011383056640625;0,0
0;0,64;6,965179443359375;0,0
0;0,65;6,99862003326416;0,0
0;0,66;7,02107048034668;0,0
0;0,67;7,006196975708008;0,0
0;0,68;6,9599199295043945;0,0
0;0,6900000000000001;7,027309417724609;0,0
0;0,7000000000000001;6,9641218185424805;0,0
0;0,71;6,926898956298828;0,0
0;0,72;7,0003743171691895;0,0
0;0,73;6,933164596557617;0,0
0;0,74;6,943642616271973;0,0
0;0,75;7,04765510559082;0,0
0;0,76;7,0545148849487305;0,0
0;0,77;6,936888694763184;0,0
0;0,78;6,884288311004639;0,0
0;0,79;6,974135398864746;0,0
0;0,8;6,998610496520996;0,0
0;0,81;6,924595832824707;0,0
0;0,8200000000000001;6,899777412414551;0,0
0;0,8300000000000001;7,018165588378906;0,0
0;0,84;7,121348857879639;0,0
0;0,85;7,012660980224609;0,0
0;0,86;6,890547752380371;0,0
0;0,87;6,956984519958496;0,0
0;0,88;7,098446846008301;0,0
0;0,89;7,175234794616699;0,0
0;0,9;7,071782112121582;0,0
0;0,91;6,905526638031006;0,0
0;0,92;6,93984317779541;0,0
0;0,93;7,054441452026367;0,0
0;0,9400000000000001;6,958026885986328;0,0
0;0,9500000000000001;6,923837661743164;0,0
0;0,96;7,050075531005859;0,0
0;0,97;6,962774276733398;0,0
0;0,98;6,922938346862793;0,0
0;0,99;7,002100944519043;0,0
0;1,0;6,933302402496338;0,0
0;1,01;6,943253993988037;0,0
0;1,02;7,04777193069458;0,0
0;1,03;7,007171630859375;0,0
0;1,04;6,954331398010254;0,0
0;1,05;7,076531410217285;0,0
0;1,06;7,089099407196045;0,0
0;1,07;6,965832233428955;0,0
0;1,08;7,056297779083252;0,0
0;1,09;7,141730308532715;0,0
0;1,1;6,9977216720581055;0,0
0;1,11;6,939483642578125;0,0
0;1,12;6,941826820373535;0,0
0;1,1300000000000001;6,857611656188965;0,0
0;1,1400000000000001;6,888272285461426;0,0
0;1,1500000000000001;6,988186836242676;0,0
0;1,16;6,99263858795166;0,0
0;1,17;6,971427917480469;0,0
0;1,18;6,978394508361816;0,0
0;1,19;7,027320861816406;0,0
0;1,2;7,102571487426758;0,0
0;1,21;7,017807483673096;0,0
0;1,22;6,98704719543457;0,0
0;1,23;7,204489707946777;0,0
0;1,24;7,130162239074707;0,0
0;1,25;6,8782243728637695;0,0
0;1,26;6,98587703704834;0,0
0;1,27;7,090153694152832;0,0
0;1,28;6,983193874359131;0,0
0;1,29;6,954951286315918;0,0
0;1,3;7,033679962158203;0,0
0;1,31;7,057465553283691;0,0
0;1,32;6,985912322998047;0,0
0;1,33;6,912971496582031;0,0
0;1,34;6,906558990478516;0,0
0;1,35;7,0179362297058105;0,0
0;1,36;7,120105743408203;0,0
0;1,37;7,013165473937988;0,0
0;1,3800000000000001;6,8906049728393555;0,0
0;1,3900000000000001;6,956864356994629;0,0
0;1,4000000000000001;7,003755569458008;0,0
0;1,41;6,973453521728516;0,0
0;1,42;7,0228166580200195;0,0
0;1,43;7,105203628540039;0,0
0;1,44;7,017716884613037;0,0
0;1,45;6,844464302062988;0,0
0;1,46;6,972994327545166;-0,00012887454067822546
0;1,47;7,14890193939209;-0,00022524553060065955
0;1,48;7,0113844871521;0,0
0;1,49;6,980378150939941;0,00018683959206100553
0;1,5;7,113458633422852;0,00014093617210164666
0;1,51;7,117700099945068;0,0
0;1,52;7,090073585510254;0,0
0;1,53;7,099451541900635;0,0
0;1,54;7,101396560668945;0,0
0;1,55;7,0514936447143555;0,0
0;1,56;7,0222063064575195;0,0
0;1,57;7,042799949645996;0,0
0;1,58;6,99357795715332;0,0
0;1,59;6,960387229919434;0,0
0;1,6;6,982290267944336;0,0
0;1,61;6,980695724487305;0,0
0;1,62;7,024343490600586;0,0
0;1,6300000000000001;7,055873870849609;0,0
0;1,6400000000000001;6,988327980041504;0,0
0;1,6500000000000001;6,912389755249023;0,0
0;1,6600000000000001;6,9063005447387695;0,0
0;1,67;6,9234209060668945;0,0
0;1,68;7,0130109786987305;0,0
0;1,69;7,166001319885254;0,0
0;1,7;7,139270782470703;0,0
0;1,71;7,024466514587402;0,0
0;1,72;7,024776458740234;0,0
0;1,73;7,047142505645752;0,0
0;1,74;7,038817405700684;0,0
0;1,75;7,037513732910156;0,0
0;1,76;7,039626121520996;0,0
0;1,77;7,039100646972656;0,0
0;1,78;6,991534233093262;0,0
0;1,79;6,96186637878418;0,0
0;1,8;6,982143402099609;0,0
0;1,81;6,980460166931152;0,0
0;1,82;7,024459362030029;0,0
0;1,83;7,103224277496338;0,0
0;1,84;7,065503120422363;0,0
0;1,85;7,016671180725098;0,0
0;1,86;7,089449882507324;0,0
0;1,87;7,072117805480957;0,0
0;1,8800000000000001;7,016923904418945;0,0
0;1,8900000000000001;7,0880608558654785;0,0
0;1,9000000000000001;7,072581768035889;0,0
0;1,9100000000000001;7,017025470733643;0,0
0;1,92;6,993208885192871;0,0
0;1,93;6,870787620544434;0,0
0;1,94;6,920688629150391;0,0
0;1,95;7,115669250488281;0,0
0;1,96;7,128571510314941;0,0
0;1,97;7,038275718688965;0,0
0;1,98;7,021768569946289;0,0
0;1,99;7,092897415161133;0,0
0;2,0;7,117193222045898;0,0
0;2,0100000000000002;7,046939849853516;0,0
0;2,02;6,973447799682617;0,0
0;2,0300000000000002;6,967014789581299;0,0
0;2,04;7,031130313873291;0,0
0;2,05;6,961291313171387;0,0
0;2,06;6,8324432373046875;0,0
0;2,07;6,94113826751709;0,0
0;2,08;7,068304061889648;0,0
0;2,09;7,047375679016113;0,0
0;2,1;7,030207633972168;0,0
0;2,11;7,0406494140625;0,0
0;2,12;7,087530136108398;0,0
0;2,13;7,115538120269775;0,0
0;2,14;6,9539079666137695;0,0
0;2,15;6,913396835327148;0,0
0;2,16;7,054740905761719;0,0
0;2,17;7,010472297668457;0,0
0;2,18;6,95180606842041;0,0
0;2,19;7,0295000076293945;0,0
0;2,2;7,0122480392456055;0,0
0;2,21;6,86130952835083;0,0
0;2,22;6,920463562011719;0,0
0;2,23;7,164985656738281;0,0
0;2,24;7,157797813415527;0,0
0;2,25;6,970500946044922;0,0
0;2,2600000000000002;7,0411200523376465;0,0
0;2,27;7,146424770355225;0,0
0;2,2800000000000002;6,951581954956055;0,0
0;2,29;6,813484191894531;0,0
0;2,3000000000000003;6,997392654418945;0,0
0;2,31;7,1459527015686035;0,0
0;2,32;7,007696151733398;0,0
0;2,33;6,887594223022461;0,0
0;2,34;6,959018707275391;0,0
0;2,35;7,098214149475098;0,0
0;2,36;7,032792091369629;0,0
0;2,37;6,840262413024902;0,0
0;2,38;6,876871109008789;0,0
0;2,39;6,948419570922852;0,0
0;2,4;6,914812088012695;0,0
0;2,41;7,0079450607299805;0,0
0;2,42;7,122182369232178;0,0
0;2,43;7,061731338500977;0,0
0;2,44;7,014352798461914;0,0
0;2,45;6,996321201324463;0,0
0;2,46;6,917538166046143;0,0
0;2,47;6,950211048126221;0,0
0;2,48;7,000940322875977;0,0
0;2,49;7,070521354675293;0,0
0;2,5;7,129599571228027;0,0
0;2,5100000000000002;6,999419212341309;0,0
0;2,52;6,893855094909668;0,0
0;2,5300000000000002;6,8636016845703125;0,0
0;2,54;6,895452499389648;0,0
0;2,5500000000000003;7,031707763671875;0,0
0;2,56;7,117192268371582;0,0
0;2,57;7,106269836425781;0,0
0;2,58;7,0462188720703125;0,0
0;2,59;7,023200988769531;0,0
0;2,6;7,043466091156006;0,0
0;2,61;6,993137359619141;0,0
0;2,62;6,96042013168335;0,0
0;2,63;7,029711723327637;0,0
0;2,64;7,057860374450684;0,0
0;2,65;6,939166069030762;0,0
0;2,66;6,882791042327881;0,0
0;2,67;6,926865577697754;0,0
0;2,68;6,92161750793457;0,0
0;2,69;7,009650230407715;0,0
0;2,7;7,120218753814697;0,0
0;2,71;7,014746189117432;0,0
0;2,72;6,889998435974121;0,0
0;2,73;7,004127025604248;0,0
0;2,74;7,033727645874023;0,0
0;2,75;6,858340263366699;0,0
0;2,7600000000000002;6,870007514953613;0,0
0;2,77;6,994792938232422;0,0
0;2,7800000000000002;6,946396827697754;0,0
0;2,79;6,845092296600342;0,0
0;2,8000000000000003;6,986727714538574;0,0
0;2,81;7,143704414367676;0,0
0;2,82;7,057962417602539;0,0
0;2,83;6,964154243469238;0,0
0;2,84;6,873507499694824;0,0
0;2,85;6,925373077392578;0,0
0;2,86;7,113406181335449;0,0
0;2,87;7,081143379211426;0,0
0;2,88;6,961550712585449;0,0
0;2,89;6,964714050292969;0,0
0;2,9;6,986963272094727;0,0
0;2,91;7,025468826293945;0,0
0;2,92;7,148954391479492;0,0
0;2,93;7,143159866333008;0,0
0;2,94;6,979050159454346;0,0
0;2,95;6,946103096008301;0,0
0;2,96;7,0377607345581055;0,0
0;2,97;7,105036735534668;0,0
0;2,98;7,062229156494141;0,0
0;2,99;7,017526626586914;0,0
0;3,0;7,0897746086120605;0,0
0;3,0100000000000002;7,071830749511719;0,0
0;3,02;7,016966819763184;0,0
0;3,0300000000000002;6,993377685546875;0,0
0;3,04;6,918113708496094;0,0
0;3,0500000000000003;6,997920989990234;0,0
0;3,06;7,125239372253418;0,0
0;3,0700000000000003;7,1099114418029785;0,0
0;3,08;7,043297290802002;0,0
0;3,09;6,97622013092041;0,0
0;3,1;7,01405143737793;0,0
0;3,11;7,107901096343994;0,0
0;3,12;7,113160610198975;0,0
0;3,13;6,998115539550781;0,0
0;3,14;6,897526741027832;0,0
0;3,15;7,051977634429932;0,0
0;3,16;7,2040486335754395;0,0
0;3,17;7,022857189178467;0,0
0;3,18;6,8232102394104;0,0
0;3,19;6,885118007659912;0,0
0;3,2;6,996088027954102;0,0
0;3,21;7,037683486938477;0,0
0;3,22;7,095277309417725;0,0
0;3,23;7,0184736251831055;0,0
0;3,24;6,940852165222168;0,0
0;3,25;7,126675605773926;0,0
0;3,2600000000000002;7,167961597442627;0,0
0;3,27;6,879493713378906;0,0
0;3,2800000000000002;6,835875511169434;0,0
0;3,29;7,097928524017334;0,0
0;3,3000000000000003;7,104387283325195;0,0
0;3,31;6,861238479614258;0,0
0;3,3200000000000003;6,807723045349121;0,0
0;3,33;6,922487735748291;0,0
0;3,34;6,937934875488281;0,0
0;3,35;6,957130432128906;0,0
0;3,36;7,041736602783203;0,0
0;3,37;7,054061412811279;0,0
0;3,38;7,032939910888672;0,0
0;3,39;6,990954399108887;0,0
0;3,4;6,915881156921387;0,0
0;3,41;6,951873779296875;0,0
0;3,42;7,000650882720947;0,0
0;3,43;6,928201675415039;0,0
0;3,44;6,945392608642578;0,0
0;3,45;7,047950744628906;0,0
0;3,46;7,006716251373291;0,0
0;3,47;6,954523086547852;0,0
0;3,48;6,934507369995117;0,0
0;3,49;6,904747009277344;0,0
0;3,5;7,014388561248779;0,0
0;3,5100000000000002;7,074424743652344;0,0
0;3,52;6,983422756195068;0,0
0;3,5300000000000002;7,005293846130371;0,0
0;3,54;7,109726905822754;0,0
0;3,5500000000000003;7,114200115203857;0,0
0;3,56;7,092098236083984;0,0
0;3,5700000000000003;7,14676570892334;0,0
0;3,58;7,083545207977295;0,0
0;3,59;6,9067535400390625;0,0
0;3,6;6,937115669250488;0,0
0;3,61;7,007891654968262;0,0
0;3,62;6,975793361663818;0,0
